title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
A systematic review of the literature regarding socially assistive robots in pre-tertiary education,"Papadopoulos, Irena; Lazzarino, Runa; Miah, Syed; Weaver, Tim; Thomas, Bernadette; Koulouglioti, Christina",,,,,COMPUTERS & EDUCATION,article,Early years education; Elementary education; Secondary education; Improving classroom teaching; Socially assistive robots,,,,
Characterizing Linux-based malware: Findings and recent trends,"Carrillo-Mondejar, J.; Martinez, J. L.; Suarez-Tangil, G.",,,,,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,article,Malware forensics; IoT; Embedded systems; Data analytics; Machine learning; Expert systems,,,,
Information and Misinformation on COVID-19 a Cross-Sectional Survey Study,"Gupta, Latika; Gasparyan, Armen Yuri; Misra, Durga Prasanna; Agarwal, Vikas; Zimba, Otena; Yessirkepov, Marten",,,,,JOURNAL OF KOREAN MEDICAL SCIENCE,article,Coronavirus Disease 2019; COVID-19; Information; Publishing; Social Media; Periodicals as Topic,,,,
"Correcting the Brain? The Convergence of Neuroscience, Neurotechnology, Psychiatry, and Artificial Intelligence","Rainey, Stephen; Erden, Yasemin J.",,,,,SCIENCE AND ENGINEERING ETHICS,article,Neurotechnology; Artificial intelligence; Ethics; Normativity; Psychology; Psychiatry,,,,
An unethical optimization principle,"Beale, Nicholas; Battey, Heather; Davison, Anthony C.; MacKay, Robert S.",,,,,ROYAL SOCIETY OPEN SCIENCE,article,AI ethics; artificial intelligence; economics; extreme value theory; financial regulation,,,,
Vulnerable data subjects,"Malgieri, Gianclaudio; Niklas, Jedrzej",,,,,COMPUTER LAW & SECURITY REVIEW,article,Data protection; Vulnerability; Vulnerable groups; Discrimination; AI; Research ethics,,,,
"Information privacy, impact assessment, and the place of ethics","Raab, Charles D.",,,,,COMPUTER LAW & SECURITY REVIEW,article,New technologies; Artificial intelligence (AI); Data ethics; Ethical principles; Human rights; Data protection and privacy impact assessment; Ethical and algorithmic impact assessment; GDPR; Information governance,,,,
Stochastic trust region inexact Newton method for large-scale machine learning,"Chauhan, Vinod Kumar; Sharma, Anuj; Dahiya, Kalpana",,,,,INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,article,Stochastic optimisation; Subsampling; Second order methods; Inexact Newton; Large-scale learning,,,,
Harnessing artificial intelligence (AI) to increase wellbeing for all: The case for a new technology diplomacy,"Feijoo, Claudio; Kwon, Youngsun; Bauer, Johannes M.; Bohlin, Erik; Howell, Bronwyn; Jain, Rekha; Potgieter, Petrus; Vu, Khuong; Whalley, Jason; Xia, Jun",,,,,TELECOMMUNICATIONS POLICY,article,Artificial intelligence; Human well-being; Decentralisation; Protectionism; Techno-nationalism; Fragmentation; Technology diplomacy; International collaborative governance,,,,
Coopetition in temporary contexts: examining swift trust and swift distrust in humanitarian operations,"Schiffling, Sarah; Hannibal, Claire; Fan, Yiyi; Tickle, Matthew",,,,,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,article,Temporary operations; Coopetition; Swift trust; Swift distrust; Humanitarian logistics,,,,
"Urban robotic experimentation: San Francisco, Tokyo and Dubai","While, Aidan H.; Marvin, Simon; Kovacic, Mateja",,,,,URBAN STUDIES,article,automation; experiments; regulation; robots; urban,,,,
"The Chinese approach to artificial intelligence: an analysis of policy, ethics, and regulation","Roberts, Huw; Cowls, Josh; Morley, Jessica; Taddeo, Mariarosaria; Wang, Vincent; Floridi, Luciano",,,,,AI & SOCIETY,article,Artificial intelligence; China; Cyber warfare; Digital ethics; Economic growth; Governance; Innovation; International competition; New Generation Artificial Intelligence Development Plan; Policy; Privacy; Social governance,,,,
Using human in vitro transcriptome analysis to build trustworthy machine learning models for prediction of animal drug toxicity,"Gardiner, Laura-Jayne; Carrieri, Anna Paola; Wilshaw, Jenny; Checkley, Stephen; Pyzer-Knapp, Edward O.; Krishna, Ritesh",,,,,SCIENTIFIC REPORTS,article,,,,,
Artificial intelligence ethics guidelines for developers and users: clarifying their content and normative implications,"Ryan, Mark; Stahl, Bernd Carsten",,,,,JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY,article,Artificial intelligence; AI ethics guidelines; Recommendations for emerging technologies; Policymaking for disruptive technologies,,,,
Algorithmic Fairness in Mortgage Lending: from Absolute Conditions to Relational Trade-offs,"Lee, Michelle Seng Ah; Floridi, Luciano",,,,,MINDS AND MACHINES,article,Algorithmic fairness; Mortgage discrimination; Fairness trade-offs; Machine learning; Technology ethics,,,,
Outlier Detection Approaches Based on Machine Learning in the Internet-of-Things,"Jiang, Jinfang; Han, Guangjie; Liu, Li; Shu, Lei; Guizani, Mohsen",,,,,IEEE WIRELESS COMMUNICATIONS,article,,,,,
Data-driven urban management: Mapping the landscape,"Engin, Zeynep; van Dijk, Justin; Lan, Tian; Longley, Paul A.; Treleaven, Philip; Batty, Michael; Penn, Alan",,,,,JOURNAL OF URBAN MANAGEMENT,article,Data-driven society; Urban management and applications; Evidence-based decision making,,,,
Digitizing Sociology: Continuity and Change in the Internet Era,"Fussey, Pete; Roth, Silke",,,,,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,article,affordances; algorithms; Big Data; datafication; digital divide; digital modernity; ethics; Internet of Things; social media; technological change,,,,
The Future of Gaming Disorder Research and Player Protection: What Role Should the Video Gaming Industry and Researchers Play?,"Griffiths, Mark D.; Pontes, Halley M.",,,,,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,article,Gaming disorder; Gaming addiction; Gaming industry; Social responsibility; Harm minimization; Big data,,,,
The damage done by big data-driven public relations,"Gregory, Anne; Halff, Gregor",,,,,PUBLIC RELATIONS REVIEW,article,Hegemony; Big data; Ethics; Externalities,,,,
