Name,Author,Keywords,Link,Notes,Medium
The Ends of Optimisation,Alison Powell,,,,article
Can Clouds Buy Us More Time to Solve Climate Change,Kate Marvel,clouds,https://www.ted.com/talks/kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change?language=en,,talk
The Environment is Not a System,Tega Brain,"system, environment, critique, math",https://aprja.net//article/view/116062/164244,,article
The Cunning of Uncertainty,Helga Nowotny,"uncertainty, physics",https://www.wiley.com/en-dk/The+Cunning+of+Uncertainty-p-9780745687612,"uncertainty, science, predictions",person
A vast machine,Paul N. Edwards,weather,https://mitpress.mit.edu/books/vast-machine,,book
Helen Verran,Helen Verran,math,https://en.wikipedia.org/wiki/Helen_Verran,,person
Global Safety Net,,maps,https://www.fastcompany.com/90546854/this-interactive-map-shows-the-key-places-that-must-be-protected-to-curb-climate-change,https://www.globalsafetynet.app/,project
Human Data Interaction in Meteorology: The Decision-Making Behind Our Forecasts,,"weather forecasts, decisions",https://medium.com/informatics-lab/human-data-interaction-in-meteorology-the-decision-making-behind-our-forecasts-9ed46ed2962d,,article
The Uninhabitable Earth,David Wallace,"climate scenarios, storytelling",https://g.co/kgs/R8WN2W,,book
Program Earth,Jennifer Gabrys,"sensors, environmental monitoring",https://www.jennifergabrys.net/2016/03/program-earth-environmental-sensing-technology-making-computational-planet/,,book
‘We’re part of the problem.’ Astronomers confront their role in—and vulnerability to—climate change,Science Mag,data warming,https://www.sciencemag.org/news/2020/10/we-re-part-problem-astronomers-confront-their-role-and-vulnerability-climate-change,"Astronomers should avoid traditional computers and instead use ones that rely on more efficient graphical processor units, Zwart says, although they are harder to program. Astronomers should also abandon popular programming languages such as Python in favor of efficient compiled languages. Languages such as Fortran and C++, Zwart calculates, are more than 100 times more carbon efficient than Python because they require fewer operations. Another option, says MPIA’s Knud Jahnke, is to set up supercomputers in Iceland, with its carbon-free geothermal power and cold climate, which reduces cooling needs, or in other countries with plentiful renewable energy.",article
Europe is building a ‘digital twin’ of Earth to revolutionize climate forecasts,Science Mag,"data, models",https://www.sciencemag.org/news/2020/10/europe-building-digital-twin-earth-revolutionize-climate-forecasts,,project
After 40 years researchers finally see earth's climate destiny more clearly,Science Mag,"climate models, history",https://www.sciencemag.org/news/2020/07/after-40-years-researchers-finally-see-earths-climate-destiny-more-clearly,"climate sensitivity.
warming range of between 2.6°C and 3.9°C",article
Even 50-year-old climate models correctly predicted global warming,Science Mag,"climate models, history",https://www.sciencemag.org/news/2019/12/even-50-year-old-climate-models-correctly-predicted-global-warming,"“How much warming we are having today is pretty much right on where models have predicted""",article
Coupled Model Intercomparison Project,,climate models,https://www.wcrp-climate.org/wgcm-cmip,,data
The Anti-Sublime Ideal in Data Art,Lev Manovich,data visualisation,https://silo.tips/download/lev-manovich-the-anti-sublime-ideal-in-data-art,,article
Public Lab,,"satellites, DIY",https://publiclab.org/wiki/projects,DIY environmental monitoring,project
Cloud Thinking,James Bridle,"weather, forecast, clouds, climate models",https://www.youtube.com/watch?v=u41ympKrybM&app=desktop,"if only we had an incredible overview of the world, we'd be able to make it better... this doesn't seem to be the way it works, surveillance doesn't really help",talk
Cloud Index,James Bridle,"weather, forecast, clouds, climate models",https://cloudindx.com/,"The Cloud Index is a series of simulations: a weather forecast for possible futures. The simulations depict proposed cloud structures which correspond to measured electoral scenarios. These are dreams of the weather, hallucinated by machines. If we wish to change the future, we must change the weather.",project
COVID‐19 Pandemic Imperils Weather Forecast,Ying Chen,"weather, forecast",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GL088613,"Assimilation of meteorological observations from aircraft improves forecasts greatly. The impact over Western Europe is buffered by the high density of conventional observations, suggesting that introduction of new observations in data‐sparse regions would be needed to minimize the impact of global emergencies on weather forecasts.",article
The Power and Paradox of Bad Software,Paul Ford,"software, climate models",https://www.wired.com/story/power-paradox-bad-software/,role of code language in climate data,article
Worlds Apart: A Story of Three Possible Warmer Worlds,IPCC,future scenarios,https://www.ipcc.ch/sr15/mulitimedia/worlds-apart/,,project
The Past and Future of Climate Models,Warm Regards Podcast,climate models,https://warmregardspodcast.com/episodes/the-past-and-future-of-climate-models-s1!2114a,Dr. Persad on the different effects of emitting identical aerosols in different parts of the world,podcast
Beyond heatmaps,Moritz Stefaner,data visualisation,https://truth-and-beauty.net/appearances/teaching/beyond-heatmaps,"As it seems, we have hit a wall in the visual rhetorics surrounding climate change. How can data visualization help to make global warming more graspable?",course
Hypothetical Outcome Plots: Experiencing the Uncertain,UW Interactive Data Lab,"probability, tipping points",https://medium.com/hci-design-at-uw/hypothetical-outcomes-plots-experiencing-the-uncertain-b9ea60d7c740,,article
The Senses Toolkit,UCLab Potsdam,climate scenarios,https://climatescenarios.org/,,project
Climate Interactive,MIT,climate scenarios,https://www.climateinteractive.org/,,project
The Terraforming,STRELKA,"ecology, technology, models, geopolitics",https://strelkamag.com/en/article/the-terraforming-projects,,project
"Infrastructure, Time, and Risk in Climate Science and Politics",Paul N. Edwards,"climate infrastructure, weather",https://inhabitingtheanthropocene.com/2020/05/13/paul-edwards-on-infrastructure-time-and-risk-in-climate-science-and-politics/,,paper
Guest post: Why clouds hold the key to better climate models,Ellie Highwood,"clouds, climate models",https://www.carbonbrief.org/guest-post-why-clouds-hold-key-better-climate-models,,article
Investigating the Enigma of Clouds and Climate Change,"Kate Marvel, Diane Toomey","clouds, climate models",https://e360.yale.edu/features/investigating-the-enigma-of-clouds-and-climate-change,,article
A New Dark Age Looms,William B. Gail,"patterns, uncertainty, climate models",https://www.nytimes.com/2016/04/19/opinion/a-new-dark-age-looms.html,"Our foundation of Earth knowledge, largely derived from historically observed patterns, has been central to society’s progress. Early cultures kept track of nature’s ebb and flow, passing improved knowledge about hunting and agriculture to each new generation. Science has accelerated this learning process through advanced observation methods and pattern discovery techniques. These allow us to anticipate the future with a consistency unimaginable to our ancestors.
But as Earth warms, our historical understanding will turn obsolete faster than we can replace it with new knowledge. Some patterns will change significantly; others will be largely unaffected, though it will be difficult to say what will change, by how much, and when.",article
Attribution of Extreme Weather Events in the Context of Climate Change,"National Academies of Sciences, Engineering, and Medicine",patterns,https://www.nap.edu/catalog/21852/attribution-of-extreme-weather-events-in-the-context-of-climate-change,extreme weather attribution,paper
Climate's Troubling Unknown Unknowns,William B. Gail,uncertainty,https://www.nytimes.com/2019/04/21/opinion/climate-change-greenhouse-gas-emissions.html?action=click&module=Opinion&pgtype=Homepage,"Unsurprisingly, the report carefully limited speculation about unknown unknowns: the many initially small environmental shifts that are potential consequences of the changing climate. What will actually emerge is largely unknowable because of the highly unpredictable nonlinear response to the warming of Earth’s complex and adaptive physical and ecological systems.",article
Inside the Weather Wars That May Threaten the Daily Forecast You Depend On,Andrew Blum,weather,https://time.com/5615625/private-companies-weather-forecasting-threat/,,article
What the World Will Look Like in 2050 If We Don’t Cut Carbon Emissions in Half,"Christiana Figueres, Tom Rivett-Carnac",future scenarios,https://time.com/5824295/climate-change-future-possibilities/,,article
How viral cat videos are warming the planet,Adam Vaughan,data warming,https://www.theguardian.com/environment/2015/sep/25/server-data-centre-emissions-air-travel-web-google-facebook-greenhouse-gas,"our growing appetite for digital services means the datacentres that power them are now responsible for about 2% of global greenhouse gas emissions, a similar share to aviation.",article
Global Climate Change Explorer,Exploratorium,"climate models, scenarios",https://www.exploratorium.edu/climate/looking-ahead,,article
Inside the Room Where They Control the Weather Satellites,Andrew Blum,weather,https://www.wired.com/story/inside-room-where-they-control-the-weather-satellites/,,article
Project Drawdown,,,https://www.drawdown.org/,,project
The Sacred Fire of a Data Center,Donal Lally,data warming,https://strelkamag.com/en/article/the-sacred-fire-of-a-data-center,,article
'A reckoning for our species': the philosopher prophet of the Anthropocene,"Timothy Morton, The Guardian",hyperobject,https://www.theguardian.com/world/2017/jun/15/timothy-morton-anthropocene-philosopher,,article
How The Advance Weather Forecast Got Good,Andrew Blum,,https://www.npr.org/2019/06/30/736822395/how-the-advance-weather-forecast-got-good?t=1601566980711,,talk
Dataviz: ecologies,Moritz Stefaner,,https://vimeo.com/354276657,,talk
https://medium.economist.com/why-you-sometimes-need-to-break-the-rules-in-data-viz-4d8ece284919,Rosamund Pearce,visualisation,https://medium.economist.com/why-you-sometimes-need-to-break-the-rules-in-data-viz-4d8ece284919,,article
Emergence of cascading dynamics in interacting tipping elements of ecology and climate,Ann Kristin Klose,tipping points,https://royalsocietypublishing.org/doi/10.1098/rsos.200599,,article
Explainer: Nine ‘tipping points’ that could be triggered by climate change,Robert McSweeney,tipping points,https://www.carbonbrief.org/explainer-nine-tipping-points-that-could-be-triggered-by-climate-change,,article
Hypothetical Outcome Plots Outperform Error Bars and Violin Plots for Inferences About Reliability of Variable Ordering,"Jessica Hullman, Paul Resnick, Eytan Adar","visualisation, uncertainty",http://idl.cs.washington.edu/papers/hops/,,article
"As Climate Change Worsens, A Cascade of Tipping Points Looms",Fred Pearce,tipping points,https://e360.yale.edu/features/as-climate-changes-worsens-a-cascade-of-tipping-points-looms,,article
Trajectories of the Earth System in the Anthropocene,"Will Steffen, Johan Rockström, Katherine Richardson, Timothy M. Lenton, Carl Folke, Diana Liverman, Colin P. Summerhayes, Anthony D. Barnosky, Sarah E. Cornell, Michel Crucifix, Jonathan F. Donges, Ingo Fetzer, Steven J. Lade, Marten Scheffer, Ricarda Winkelmann, and Hans Joachim Schellnhuber","tipping points, Earth System trajectories, Anthropocene, biosphere feedbacks, tipping elements, data",https://www.pnas.org/content/115/33/8252/tab-figures-data,,paper
Aerosol,Florian Born,"uncertainty, inspiration",https://florianborn.com/projects/aerosol,,project
"Changing Ocean, Marine Ecosystems, and Dependent Communities",IPCC,ocean,https://www.ipcc.ch/srocc/chapter/chapter-5/,,paper
